915,1,5
1333,3,4
967,4,1
685,5,3
1333,8,3
695,8,1
1856,8,5
1983,8,3
7,8,5
307,8,3
734,8,1
742,8,4
840,17,2
1913,17,3
462,17,2
491,17,3
911,17,4
1333,18,4
1811,18,2
2000,18,3
1243,18,4
1146,18,3
933,18,4
1871,18,4
1650,18,5
424,18,4
1658,24,2
1333,26,3
1658,26,4
1333,28,2
1409,28,3
1830,28,5
1086,28,3
1611,28,4
383,28,3
1034,28,5
1636,28,4
1186,28,3
1900,28,4
1500,28,1
1811,28,3
265,28,3
1584,28,3
906,28,3
201,28,4
1894,28,4
1527,28,5
2000,28,4
7,28,4
592,28,4
1442,28,4
1878,28,5
134,28,5
527,28,5
1918,28,3
1871,28,4
1664,28,5
815,28,4
1310,28,3
1427,30,3
1353,30,3
261,30,4
384,30,4
1810,30,3
979,30,3
1333,30,3
478,30,4
834,30,3
744,30,4
1947,30,3
840,30,3
199,30,5
1409,30,4
602,30,5
1331,30,3
59,30,2
1522,30,4
1746,30,3
1830,30,5
1086,30,4
788,30,4
1611,30,3
440,30,4
42,30,4
1088,30,3
1846,30,5
1186,30,3
1573,30,5
1856,30,5
116,30,4
1500,30,4
471,30,3
781,30,2
1811,30,4
1590,30,4
944,30,3
296,30,4
79,30,3
265,30,5
477,30,3
1734,30,5
906,30,3
201,30,5
1327,30,4
462,30,5
1689,30,2
1717,30,4
1276,30,4
1983,30,4
301,30,4
624,30,4
756,30,3
1771,30,4
7,30,5
592,30,4
1693,30,4
307,30,4
1715,30,5
660,30,4
437,30,2
266,30,4
1243,30,4
168,30,4
481,30,5
283,30,4
527,30,4
981,30,2
998,30,4
183,30,4
1701,30,3
439,30,4
1588,30,3
1067,30,5
614,30,3
1457,30,4
1918,30,5
933,30,4
1831,30,4
1702,30,3
1871,30,3
1323,30,3
6,30,3
1534,30,4
785,30,5
1738,30,3
536,30,5
492,30,4
424,30,4
815,30,3
663,30,4
188,30,3
1310,30,3
1285,30,4
1533,33,5
1221,33,5
1809,33,5
930,33,5
561,36,1
1310,36,4
979,44,5
1333,44,3
1331,44,3
296,44,3
684,44,3
1809,44,5
1457,44,4
268,44,5
307,45,3
1897,46,3
1457,46,4
1527,48,5
1333,52,3
94,52,2
1922,52,3
1333,55,2
1830,55,1
134,55,5
911,56,4
1427,57,4
1333,57,4
602,58,4
1611,58,3
1385,58,4
1276,58,4
684,58,4
437,58,4
481,58,5
134,58,5
268,58,5
1315,70,3
1333,71,2
478,71,4
1481,71,5
609,76,4
1276,76,3
1702,76,4
1333,77,3
2000,77,2
1693,77,4
437,77,3
134,77,4
201,78,4
1985,78,5
333,79,5
1427,83,3
1333,83,3
744,83,4
695,83,3
97,83,4
296,83,4
1689,83,4
7,83,5
1701,83,4
1588,83,4
79,84,3
1070,85,2
1070,88,4
87,95,1
684,96,5
1427,97,4
1810,97,4
1333,97,3
592,97,5
1243,97,4
527,97,3
1636,101,3
1734,104,5
735,104,4
1922,106,4
1333,107,5
1333,108,3
546,108,5
744,108,2
840,108,4
788,108,4
1811,108,3
333,108,5
437,108,2
481,108,4
242,108,4
1831,108,3
1658,108,3
188,108,3
1427,110,4
424,110,3
1333,111,2
1947,111,4
199,111,4
1357,111,4
87,111,2
1573,111,4
1500,111,5
265,111,3
1717,111,3
1276,111,1
1894,111,4
578,111,3
481,111,5
416,111,5
192,111,3
1588,111,3
1328,111,3
1457,111,3
1918,111,3
1702,111,3
1658,111,4
188,111,2
1038,111,2
735,111,3
1271,117,4
1734,117,5
1507,118,2
684,118,5
1442,118,5
134,118,5
188,118,3
1333,122,2
1717,122,3
769,126,3
1333,127,1
1533,128,3
1527,129,1
1553,132,4
442,138,5
1442,138,5
